config_id,label,group,case_id,difficulty,mode,called_tools,h,a,n_checks,error_type,n_configs,n_configs_expected,missing_config_ids
ax-4.0,A.X-4.0 (72B),Korean-Specialized,st_strv_018,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
ax-4.0,A.X-4.0 (72B),Korean-Specialized,st_strv_019,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
ax-4.0,A.X-4.0 (72B),Korean-Specialized,st_strv_020,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
ax-4.0,A.X-4.0 (72B),Korean-Specialized,st_strv_021,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
ax-4.0,A.X-4.0 (72B),Korean-Specialized,st_strv_022,easy,correct_only,validate_str_fields,1,0.0,1,param_error,28,28,
ax-4.0,A.X-4.0 (72B),Korean-Specialized,st_strv_023,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
ax-4.0,A.X-4.0 (72B),Korean-Specialized,st_strv_024,easy,correct_only,validate_str_fields,1,0.0,1,param_error,28,28,
ax-4.0,A.X-4.0 (72B),Korean-Specialized,st_strv_025,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
ax-light,A.X-4.0-Light (7B),Korean-Specialized,st_strv_001,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
ax-light,A.X-4.0-Light (7B),Korean-Specialized,st_strv_002,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
ax-light,A.X-4.0-Light (7B),Korean-Specialized,st_strv_003,easy,no_call,,0,0.0,1,parse_fail,28,28,
ax-light,A.X-4.0-Light (7B),Korean-Specialized,st_strv_004,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
ax-light,A.X-4.0-Light (7B),Korean-Specialized,st_strv_005,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
ax-light,A.X-4.0-Light (7B),Korean-Specialized,st_strv_006,easy,no_call,,0,0.0,1,no_call,28,28,
ax-light,A.X-4.0-Light (7B),Korean-Specialized,st_strv_007,easy,no_call,,0,0.0,1,parse_fail,28,28,
ax-light,A.X-4.0-Light (7B),Korean-Specialized,st_strv_008,easy,no_call,,0,0.0,1,parse_fail,28,28,
ax-light,A.X-4.0-Light (7B),Korean-Specialized,st_strv_009,easy,no_call,,0,0.0,1,no_call,28,28,
ax-light,A.X-4.0-Light (7B),Korean-Specialized,st_strv_010,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
ax-light,A.X-4.0-Light (7B),Korean-Specialized,st_strv_011,easy,no_call,,0,0.0,1,parse_fail,28,28,
ax-light,A.X-4.0-Light (7B),Korean-Specialized,st_strv_012,easy,no_call,,0,0.0,1,parse_fail,28,28,
ax-light,A.X-4.0-Light (7B),Korean-Specialized,st_strv_013,easy,no_call,,0,0.0,1,no_call,28,28,
ax-light,A.X-4.0-Light (7B),Korean-Specialized,st_strv_014,easy,no_call,,0,0.0,1,parse_fail,28,28,
ax-light,A.X-4.0-Light (7B),Korean-Specialized,st_strv_015,easy,no_call,,0,0.0,1,no_call,28,28,
ax-light,A.X-4.0-Light (7B),Korean-Specialized,st_strv_016,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
ax-light,A.X-4.0-Light (7B),Korean-Specialized,st_strv_017,easy,no_call,,0,0.0,1,parse_fail,28,28,
ax-light,A.X-4.0-Light (7B),Korean-Specialized,st_strv_018,easy,no_call,,0,0.0,1,parse_fail,28,28,
ax-light,A.X-4.0-Light (7B),Korean-Specialized,st_strv_019,easy,no_call,,0,0.0,1,no_call,28,28,
ax-light,A.X-4.0-Light (7B),Korean-Specialized,st_strv_020,easy,no_call,,0,0.0,1,no_call,28,28,
ax-light,A.X-4.0-Light (7B),Korean-Specialized,st_strv_021,easy,no_call,,0,0.0,1,parse_fail,28,28,
ax-light,A.X-4.0-Light (7B),Korean-Specialized,st_strv_022,easy,no_call,,0,0.0,1,no_call,28,28,
ax-light,A.X-4.0-Light (7B),Korean-Specialized,st_strv_023,easy,no_call,,0,0.0,1,parse_fail,28,28,
ax-light,A.X-4.0-Light (7B),Korean-Specialized,st_strv_024,easy,no_call,,0,0.0,1,no_call,28,28,
ax-light,A.X-4.0-Light (7B),Korean-Specialized,st_strv_025,easy,no_call,,0,0.0,1,no_call,28,28,
dragon-llama-fin,Llama-Open-Finance-8B,Finance-Specialized,st_strv_001,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
dragon-llama-fin,Llama-Open-Finance-8B,Finance-Specialized,st_strv_002,easy,correct_with_extra,validate_str_fields|validate_str_fields|validate_str_fields|validate_str_fields|validate_str_fields,1,0.0,1,param_error,28,28,
dragon-llama-fin,Llama-Open-Finance-8B,Finance-Specialized,st_strv_003,easy,correct_with_extra,validate_str_fields|validate_str_fields|validate_str_fields|validate_str_fields|validate_str_fields,1,1.0,1,correct,28,28,
dragon-llama-fin,Llama-Open-Finance-8B,Finance-Specialized,st_strv_004,easy,correct_with_extra,validate_str_fields|validate_str_fields|validate_str_fields|validate_str_fields|validate_str_fields,1,0.0,1,param_error,28,28,
dragon-llama-fin,Llama-Open-Finance-8B,Finance-Specialized,st_strv_005,easy,correct_with_extra,validate_str_fields|validate_str_fields|validate_str_fields|validate_str_fields|validate_str_fields,1,0.0,1,param_error,28,28,
dragon-llama-fin,Llama-Open-Finance-8B,Finance-Specialized,st_strv_006,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
dragon-llama-fin,Llama-Open-Finance-8B,Finance-Specialized,st_strv_007,easy,correct_with_extra,validate_str_fields|validate_str_fields|validate_str_fields|validate_str_fields|validate_str_fields,1,0.0,1,param_error,28,28,
dragon-llama-fin,Llama-Open-Finance-8B,Finance-Specialized,st_strv_008,easy,correct_with_extra,validate_str_fields|validate_str_fields|validate_str_fields|validate_str_fields|validate_str_fields,1,0.0,1,param_error,28,28,
dragon-llama-fin,Llama-Open-Finance-8B,Finance-Specialized,st_strv_009,easy,no_call,,0,0.0,1,no_call,28,28,
dragon-llama-fin,Llama-Open-Finance-8B,Finance-Specialized,st_strv_010,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
dragon-llama-fin,Llama-Open-Finance-8B,Finance-Specialized,st_strv_011,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
dragon-llama-fin,Llama-Open-Finance-8B,Finance-Specialized,st_strv_012,easy,correct_with_extra,validate_str_fields|validate_str_fields|validate_str_fields|validate_str_fields|validate_str_fields,1,1.0,1,correct,28,28,
dragon-llama-fin,Llama-Open-Finance-8B,Finance-Specialized,st_strv_013,easy,correct_with_extra,validate_str_fields|validate_str_fields|validate_str_fields|validate_str_fields|validate_str_fields,1,0.0,1,param_error,28,28,
dragon-llama-fin,Llama-Open-Finance-8B,Finance-Specialized,st_strv_014,easy,correct_with_extra,validate_str_fields|validate_str_fields|validate_str_fields|validate_str_fields|validate_str_fields,1,0.0,1,param_error,28,28,
dragon-llama-fin,Llama-Open-Finance-8B,Finance-Specialized,st_strv_015,easy,correct_with_extra,validate_str_fields|validate_str_fields|validate_str_fields|validate_str_fields|validate_str_fields,1,0.0,1,param_error,28,28,
dragon-llama-fin,Llama-Open-Finance-8B,Finance-Specialized,st_strv_016,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
dragon-llama-fin,Llama-Open-Finance-8B,Finance-Specialized,st_strv_017,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
dragon-llama-fin,Llama-Open-Finance-8B,Finance-Specialized,st_strv_018,easy,correct_with_extra,validate_str_fields|validate_str_fields|validate_str_fields|validate_str_fields|validate_str_fields,1,0.0,1,param_error,28,28,
dragon-llama-fin,Llama-Open-Finance-8B,Finance-Specialized,st_strv_019,easy,correct_with_extra,validate_str_fields|validate_str_fields|validate_str_fields|validate_str_fields|validate_str_fields,1,1.0,1,correct,28,28,
dragon-llama-fin,Llama-Open-Finance-8B,Finance-Specialized,st_strv_020,easy,no_call,,0,0.0,1,no_call,28,28,
dragon-llama-fin,Llama-Open-Finance-8B,Finance-Specialized,st_strv_021,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
dragon-llama-fin,Llama-Open-Finance-8B,Finance-Specialized,st_strv_022,easy,correct_with_extra,validate_str_fields|validate_str_fields|validate_str_fields|validate_str_fields|validate_str_fields,1,1.0,1,correct,28,28,
dragon-llama-fin,Llama-Open-Finance-8B,Finance-Specialized,st_strv_023,easy,correct_with_extra,validate_str_fields|validate_str_fields|validate_str_fields|validate_str_fields|validate_str_fields,1,1.0,1,correct,28,28,
dragon-llama-fin,Llama-Open-Finance-8B,Finance-Specialized,st_strv_024,easy,correct_with_extra,validate_str_fields|validate_str_fields|validate_str_fields|validate_str_fields|validate_str_fields,1,0.0,1,param_error,28,28,
dragon-llama-fin,Llama-Open-Finance-8B,Finance-Specialized,st_strv_025,easy,correct_with_extra,validate_str_fields|validate_str_fields|validate_str_fields|validate_str_fields|validate_str_fields,1,0.0,1,param_error,28,28,
dragon-qwen-fin,Qwen-Open-Finance-R-8B,Finance-Specialized,st_strv_001,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
dragon-qwen-fin,Qwen-Open-Finance-R-8B,Finance-Specialized,st_strv_002,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
dragon-qwen-fin,Qwen-Open-Finance-R-8B,Finance-Specialized,st_strv_003,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
dragon-qwen-fin,Qwen-Open-Finance-R-8B,Finance-Specialized,st_strv_004,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
dragon-qwen-fin,Qwen-Open-Finance-R-8B,Finance-Specialized,st_strv_005,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
dragon-qwen-fin,Qwen-Open-Finance-R-8B,Finance-Specialized,st_strv_006,easy,no_call,,0,0.0,1,length_stop,28,28,
dragon-qwen-fin,Qwen-Open-Finance-R-8B,Finance-Specialized,st_strv_007,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
dragon-qwen-fin,Qwen-Open-Finance-R-8B,Finance-Specialized,st_strv_008,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
dragon-qwen-fin,Qwen-Open-Finance-R-8B,Finance-Specialized,st_strv_009,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
dragon-qwen-fin,Qwen-Open-Finance-R-8B,Finance-Specialized,st_strv_010,easy,no_call,,0,0.0,1,no_call,28,28,
dragon-qwen-fin,Qwen-Open-Finance-R-8B,Finance-Specialized,st_strv_011,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
dragon-qwen-fin,Qwen-Open-Finance-R-8B,Finance-Specialized,st_strv_012,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
dragon-qwen-fin,Qwen-Open-Finance-R-8B,Finance-Specialized,st_strv_013,easy,no_call,,0,0.0,1,no_call,28,28,
dragon-qwen-fin,Qwen-Open-Finance-R-8B,Finance-Specialized,st_strv_014,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
dragon-qwen-fin,Qwen-Open-Finance-R-8B,Finance-Specialized,st_strv_015,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
dragon-qwen-fin,Qwen-Open-Finance-R-8B,Finance-Specialized,st_strv_016,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
dragon-qwen-fin,Qwen-Open-Finance-R-8B,Finance-Specialized,st_strv_017,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
dragon-qwen-fin,Qwen-Open-Finance-R-8B,Finance-Specialized,st_strv_018,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
dragon-qwen-fin,Qwen-Open-Finance-R-8B,Finance-Specialized,st_strv_019,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
dragon-qwen-fin,Qwen-Open-Finance-R-8B,Finance-Specialized,st_strv_020,easy,no_call,,0,0.0,1,no_call,28,28,
dragon-qwen-fin,Qwen-Open-Finance-R-8B,Finance-Specialized,st_strv_021,easy,no_call,,0,0.0,1,no_call,28,28,
dragon-qwen-fin,Qwen-Open-Finance-R-8B,Finance-Specialized,st_strv_022,easy,no_call,,0,0.0,1,no_call,28,28,
dragon-qwen-fin,Qwen-Open-Finance-R-8B,Finance-Specialized,st_strv_023,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
dragon-qwen-fin,Qwen-Open-Finance-R-8B,Finance-Specialized,st_strv_024,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
dragon-qwen-fin,Qwen-Open-Finance-R-8B,Finance-Specialized,st_strv_025,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
exaone-1.2b,EXAONE-4.0-1.2B,Korean-Specialized,st_strv_001,easy,correct_only,validate_str_fields,1,0.0,1,param_error,28,28,
exaone-1.2b,EXAONE-4.0-1.2B,Korean-Specialized,st_strv_002,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
exaone-1.2b,EXAONE-4.0-1.2B,Korean-Specialized,st_strv_003,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
exaone-1.2b,EXAONE-4.0-1.2B,Korean-Specialized,st_strv_004,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
exaone-1.2b,EXAONE-4.0-1.2B,Korean-Specialized,st_strv_005,easy,no_call,,0,0.0,1,parse_fail,28,28,
exaone-1.2b,EXAONE-4.0-1.2B,Korean-Specialized,st_strv_006,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
exaone-1.2b,EXAONE-4.0-1.2B,Korean-Specialized,st_strv_007,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
exaone-1.2b,EXAONE-4.0-1.2B,Korean-Specialized,st_strv_008,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
exaone-1.2b,EXAONE-4.0-1.2B,Korean-Specialized,st_strv_009,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
exaone-1.2b,EXAONE-4.0-1.2B,Korean-Specialized,st_strv_010,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
exaone-1.2b,EXAONE-4.0-1.2B,Korean-Specialized,st_strv_011,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
exaone-1.2b,EXAONE-4.0-1.2B,Korean-Specialized,st_strv_012,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
exaone-1.2b,EXAONE-4.0-1.2B,Korean-Specialized,st_strv_013,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
exaone-1.2b,EXAONE-4.0-1.2B,Korean-Specialized,st_strv_014,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
exaone-1.2b,EXAONE-4.0-1.2B,Korean-Specialized,st_strv_015,easy,correct_only,validate_str_fields,1,0.0,1,param_error,28,28,
exaone-1.2b,EXAONE-4.0-1.2B,Korean-Specialized,st_strv_016,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
exaone-1.2b,EXAONE-4.0-1.2B,Korean-Specialized,st_strv_017,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
exaone-1.2b,EXAONE-4.0-1.2B,Korean-Specialized,st_strv_018,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
exaone-1.2b,EXAONE-4.0-1.2B,Korean-Specialized,st_strv_019,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
exaone-1.2b,EXAONE-4.0-1.2B,Korean-Specialized,st_strv_020,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
exaone-1.2b,EXAONE-4.0-1.2B,Korean-Specialized,st_strv_021,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
exaone-1.2b,EXAONE-4.0-1.2B,Korean-Specialized,st_strv_022,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
exaone-1.2b,EXAONE-4.0-1.2B,Korean-Specialized,st_strv_023,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
exaone-1.2b,EXAONE-4.0-1.2B,Korean-Specialized,st_strv_024,easy,correct_only,validate_str_fields,1,0.0,1,param_error,28,28,
exaone-1.2b,EXAONE-4.0-1.2B,Korean-Specialized,st_strv_025,easy,correct_only,validate_str_fields,1,0.0,1,param_error,28,28,
exaone-32b,EXAONE-4.0-32B,Korean-Specialized,st_strv_001,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
exaone-32b,EXAONE-4.0-32B,Korean-Specialized,st_strv_002,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
exaone-32b,EXAONE-4.0-32B,Korean-Specialized,st_strv_003,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
exaone-32b,EXAONE-4.0-32B,Korean-Specialized,st_strv_004,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
exaone-32b,EXAONE-4.0-32B,Korean-Specialized,st_strv_005,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
exaone-32b,EXAONE-4.0-32B,Korean-Specialized,st_strv_006,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
exaone-32b,EXAONE-4.0-32B,Korean-Specialized,st_strv_007,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
exaone-32b,EXAONE-4.0-32B,Korean-Specialized,st_strv_008,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
exaone-32b,EXAONE-4.0-32B,Korean-Specialized,st_strv_009,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
exaone-32b,EXAONE-4.0-32B,Korean-Specialized,st_strv_010,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
exaone-32b,EXAONE-4.0-32B,Korean-Specialized,st_strv_011,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
exaone-32b,EXAONE-4.0-32B,Korean-Specialized,st_strv_012,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
exaone-32b,EXAONE-4.0-32B,Korean-Specialized,st_strv_013,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
exaone-32b,EXAONE-4.0-32B,Korean-Specialized,st_strv_014,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
exaone-32b,EXAONE-4.0-32B,Korean-Specialized,st_strv_015,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
exaone-32b,EXAONE-4.0-32B,Korean-Specialized,st_strv_016,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
exaone-32b,EXAONE-4.0-32B,Korean-Specialized,st_strv_017,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
exaone-32b,EXAONE-4.0-32B,Korean-Specialized,st_strv_018,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
exaone-32b,EXAONE-4.0-32B,Korean-Specialized,st_strv_019,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
exaone-32b,EXAONE-4.0-32B,Korean-Specialized,st_strv_020,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
exaone-32b,EXAONE-4.0-32B,Korean-Specialized,st_strv_021,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
exaone-32b,EXAONE-4.0-32B,Korean-Specialized,st_strv_022,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
exaone-32b,EXAONE-4.0-32B,Korean-Specialized,st_strv_023,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
exaone-32b,EXAONE-4.0-32B,Korean-Specialized,st_strv_024,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
exaone-32b,EXAONE-4.0-32B,Korean-Specialized,st_strv_025,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
gemma-4-31b,Gemma-4-31B,General-Purpose,st_strv_001,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
gemma-4-31b,Gemma-4-31B,General-Purpose,st_strv_002,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
gemma-4-31b,Gemma-4-31B,General-Purpose,st_strv_003,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
gemma-4-31b,Gemma-4-31B,General-Purpose,st_strv_004,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
gemma-4-31b,Gemma-4-31B,General-Purpose,st_strv_005,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
gemma-4-31b,Gemma-4-31B,General-Purpose,st_strv_006,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
gemma-4-31b,Gemma-4-31B,General-Purpose,st_strv_007,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
gemma-4-31b,Gemma-4-31B,General-Purpose,st_strv_008,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
gemma-4-31b,Gemma-4-31B,General-Purpose,st_strv_009,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
gemma-4-31b,Gemma-4-31B,General-Purpose,st_strv_010,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
gemma-4-31b,Gemma-4-31B,General-Purpose,st_strv_011,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
gemma-4-31b,Gemma-4-31B,General-Purpose,st_strv_012,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
gemma-4-31b,Gemma-4-31B,General-Purpose,st_strv_013,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
gemma-4-31b,Gemma-4-31B,General-Purpose,st_strv_014,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
gemma-4-31b,Gemma-4-31B,General-Purpose,st_strv_015,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
gemma-4-31b,Gemma-4-31B,General-Purpose,st_strv_016,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
gemma-4-31b,Gemma-4-31B,General-Purpose,st_strv_017,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
gemma-4-31b,Gemma-4-31B,General-Purpose,st_strv_018,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
gemma-4-31b,Gemma-4-31B,General-Purpose,st_strv_019,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
gemma-4-31b,Gemma-4-31B,General-Purpose,st_strv_020,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
gemma-4-31b,Gemma-4-31B,General-Purpose,st_strv_021,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
gemma-4-31b,Gemma-4-31B,General-Purpose,st_strv_022,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
gemma-4-31b,Gemma-4-31B,General-Purpose,st_strv_023,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
gemma-4-31b,Gemma-4-31B,General-Purpose,st_strv_024,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
gemma-4-31b,Gemma-4-31B,General-Purpose,st_strv_025,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
gemma-4-e4b,Gemma-4-E4B,General-Purpose,st_strv_001,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
gemma-4-e4b,Gemma-4-E4B,General-Purpose,st_strv_002,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
gemma-4-e4b,Gemma-4-E4B,General-Purpose,st_strv_003,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
gemma-4-e4b,Gemma-4-E4B,General-Purpose,st_strv_004,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
gemma-4-e4b,Gemma-4-E4B,General-Purpose,st_strv_005,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
gemma-4-e4b,Gemma-4-E4B,General-Purpose,st_strv_006,easy,correct_only,validate_str_fields,1,0.0,1,param_error,28,28,
gemma-4-e4b,Gemma-4-E4B,General-Purpose,st_strv_007,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
gemma-4-e4b,Gemma-4-E4B,General-Purpose,st_strv_008,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
gemma-4-e4b,Gemma-4-E4B,General-Purpose,st_strv_009,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
gemma-4-e4b,Gemma-4-E4B,General-Purpose,st_strv_010,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
gemma-4-e4b,Gemma-4-E4B,General-Purpose,st_strv_011,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
gemma-4-e4b,Gemma-4-E4B,General-Purpose,st_strv_012,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
gemma-4-e4b,Gemma-4-E4B,General-Purpose,st_strv_013,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
gemma-4-e4b,Gemma-4-E4B,General-Purpose,st_strv_014,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
gemma-4-e4b,Gemma-4-E4B,General-Purpose,st_strv_015,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
gemma-4-e4b,Gemma-4-E4B,General-Purpose,st_strv_016,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
gemma-4-e4b,Gemma-4-E4B,General-Purpose,st_strv_017,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
gemma-4-e4b,Gemma-4-E4B,General-Purpose,st_strv_018,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
gemma-4-e4b,Gemma-4-E4B,General-Purpose,st_strv_019,easy,correct_only,validate_str_fields,1,1.0,1,correct,28,28,
