config_id,label,group,case_id,difficulty,h,a,n_checks,call_arguments,called_tools,error_type,n_configs,n_configs_expected,missing_config_ids
ax-light,A.X-4.0-Light (7B),Korean-Specialized,st_fiu_014,medium,1,0.0,1,"[{""keyword"": ""선불카드, 상품권, 잔액 환불""}]","[""lookup_fiu_reference_types""]",param_error,28,28,
ax-light,A.X-4.0-Light (7B),Korean-Specialized,st_fiu_015,medium,1,0.0,1,"[{""keyword"": ""타인 명의 계좌""}]","[""lookup_fiu_reference_types""]",param_error,28,28,
ax-light,A.X-4.0-Light (7B),Korean-Specialized,st_fiu_016,medium,1,1.0,1,"[{""keyword"": ""tax evasion""}]","[""lookup_fiu_reference_types""]",correct,28,28,
ax-light,A.X-4.0-Light (7B),Korean-Specialized,st_fiu_017,hard,1,0.5,2,"[{""keyword"": ""인터넷 뱅킹"", ""industry"": ""banking""}]","[""lookup_fiu_reference_types""]",param_error,28,28,
ax-light,A.X-4.0-Light (7B),Korean-Specialized,st_fiu_018,medium,1,0.0,1,"[{""keyword"": ""unknown source"", ""industry"": ""banking""}]","[""lookup_fiu_reference_types""]",param_error,28,28,
ax-light,A.X-4.0-Light (7B),Korean-Specialized,st_fiu_019,medium,1,0.0,1,"[{""keyword"": ""국가 간 가격 차이"", ""industry"": ""banking""}]","[""lookup_fiu_reference_types""]",param_error,28,28,
ax-light,A.X-4.0-Light (7B),Korean-Specialized,st_fiu_020,hard,1,0.5,2,"[{""keyword"": ""차명계좌, 타인 계좌"", ""industry"": ""securities""}]","[""lookup_fiu_reference_types""]",param_error,28,28,
ax-light,A.X-4.0-Light (7B),Korean-Specialized,st_fiu_021,hard,0,0.0,2,[],[],no_call,28,28,
ax-light,A.X-4.0-Light (7B),Korean-Specialized,st_fiu_022,hard,1,0.5,2,"[{""keyword"": ""비대면 다수 계좌 개설"", ""industry"": ""securities""}]","[""lookup_fiu_reference_types""]",param_error,28,28,
ax-light,A.X-4.0-Light (7B),Korean-Specialized,st_fiu_023,medium,1,0.0,1,"[{""keyword"": ""customer information"", ""industry"": ""banking""}]","[""lookup_fiu_reference_types""]",param_error,28,28,
ax-light,A.X-4.0-Light (7B),Korean-Specialized,st_fiu_024,hard,0,0.0,2,[],[],no_call,28,28,
ax-light,A.X-4.0-Light (7B),Korean-Specialized,st_fiu_025,hard,1,1.0,2,"[{""keyword"": ""cash"", ""industry"": ""banking""}]","[""lookup_fiu_reference_types""]",correct,28,28,
dragon-llama-fin,Llama-Open-Finance-8B,Finance-Specialized,st_fiu_001,easy,1,1.0,1,"[{""keyword"": ""structuring"", ""industry"": ""banking""}]","[""lookup_fiu_reference_types""]",correct,28,28,
dragon-llama-fin,Llama-Open-Finance-8B,Finance-Specialized,st_fiu_002,medium,1,0.0,1,"[{""keyword"": ""nighttime bulk"", ""industry"": ""banking""}, {""keyword"": ""nighttime bulk"", ""industry"": ""banking""}]","[""lookup_fiu_reference_types"", ""lookup_fiu_reference_types""]",param_error,28,28,
dragon-llama-fin,Llama-Open-Finance-8B,Finance-Specialized,st_fiu_003,hard,1,1.0,2,"[{""keyword"": ""non-face-to-face"", ""industry"": ""banking""}]","[""lookup_fiu_reference_types""]",correct,28,28,
dragon-llama-fin,Llama-Open-Finance-8B,Finance-Specialized,st_fiu_004,medium,1,1.0,1,"[{""keyword"": ""virtual asset"", ""industry"": ""banking""}]","[""lookup_fiu_reference_types""]",correct,28,28,
dragon-llama-fin,Llama-Open-Finance-8B,Finance-Specialized,st_fiu_005,medium,1,0.0,1,"[{""keyword"": ""FIU"", ""industry"": ""banking""}]","[""get_fiu_reference_types"", ""lookup_fiu_reference_types""]",param_error,28,28,
dragon-llama-fin,Llama-Open-Finance-8B,Finance-Specialized,st_fiu_006,medium,1,1.0,1,"[{""keyword"": ""dormancy"", ""industry"": ""banking""}]","[""lookup_fiu_reference_types""]",correct,28,28,
dragon-llama-fin,Llama-Open-Finance-8B,Finance-Specialized,st_fiu_007,hard,1,0.5,2,"[{""keyword"": ""securities"", ""industry"": ""securities""}]","[""lookup_fiu_reference_types""]",param_error,28,28,
dragon-llama-fin,Llama-Open-Finance-8B,Finance-Specialized,st_fiu_008,medium,0,0.0,1,[],[],no_call,28,28,
dragon-llama-fin,Llama-Open-Finance-8B,Finance-Specialized,st_fiu_009,easy,1,1.0,1,"[{""keyword"": ""ATM"", ""industry"": ""banking""}]","[""lookup_fiu_reference_types""]",correct,28,28,
dragon-llama-fin,Llama-Open-Finance-8B,Finance-Specialized,st_fiu_010,medium,1,1.0,1,"[{""keyword"": ""gambling"", ""industry"": ""banking""}]","[""lookup_fiu_reference_types""]",correct,28,28,
dragon-llama-fin,Llama-Open-Finance-8B,Finance-Specialized,st_fiu_011,medium,1,1.0,1,"[{""keyword"": ""balance certificate"", ""industry"": ""banking""}]","[""lookup_fiu_reference_types""]",correct,28,28,
dragon-llama-fin,Llama-Open-Finance-8B,Finance-Specialized,st_fiu_012,hard,1,1.0,2,"[{""keyword"": ""balance certificate"", ""industry"": ""securities""}]","[""lookup_fiu_reference_types""]",correct,28,28,
dragon-llama-fin,Llama-Open-Finance-8B,Finance-Specialized,st_fiu_013,medium,1,0.0,1,"[{""keyword"": ""paper company"", ""industry"": ""banking""}]","[""lookup_fiu_reference_types""]",param_error,28,28,
dragon-llama-fin,Llama-Open-Finance-8B,Finance-Specialized,st_fiu_014,medium,0,0.0,1,[],[],no_call,28,28,
dragon-llama-fin,Llama-Open-Finance-8B,Finance-Specialized,st_fiu_015,medium,1,0.0,1,"[{""keyword"": ""dormancy"", ""industry"": ""banking""}]","[""lookup_fiu_reference_types""]",param_error,28,28,
dragon-llama-fin,Llama-Open-Finance-8B,Finance-Specialized,st_fiu_016,medium,1,0.0,1,"[{""keyword"": ""cash"", ""industry"": ""banking""}]","[""lookup_fiu_reference_types""]",param_error,28,28,
dragon-llama-fin,Llama-Open-Finance-8B,Finance-Specialized,st_fiu_017,hard,1,0.5,2,"[{""keyword"": ""non-face-to-face"", ""industry"": ""banking""}]","[""lookup_fiu_reference_types""]",param_error,28,28,
dragon-llama-fin,Llama-Open-Finance-8B,Finance-Specialized,st_fiu_018,medium,1,0.0,1,"[{""keyword"": ""cash"", ""industry"": ""banking""}]","[""lookup_fiu_reference_types""]",param_error,28,28,
dragon-llama-fin,Llama-Open-Finance-8B,Finance-Specialized,st_fiu_019,medium,1,0.0,1,"[{""keyword"": ""cross-border"", ""industry"": ""banking""}]","[""lookup_fiu_reference_types""]",param_error,28,28,
dragon-llama-fin,Llama-Open-Finance-8B,Finance-Specialized,st_fiu_020,hard,1,0.5,2,"[{""keyword"": ""non-face-to-face"", ""industry"": ""securities""}]","[""lookup_fiu_reference_types""]",param_error,28,28,
dragon-llama-fin,Llama-Open-Finance-8B,Finance-Specialized,st_fiu_021,hard,1,0.5,2,"[{""keyword"": ""structuring"", ""industry"": ""securities""}]","[""lookup_fiu_reference_types""]",param_error,28,28,
dragon-llama-fin,Llama-Open-Finance-8B,Finance-Specialized,st_fiu_022,hard,1,0.5,2,"[{""keyword"": ""non-face-to-face"", ""industry"": ""securities""}]","[""lookup_fiu_reference_types""]",param_error,28,28,
dragon-llama-fin,Llama-Open-Finance-8B,Finance-Specialized,st_fiu_023,medium,1,0.0,1,"[{""keyword"": ""customer information mismatch"", ""industry"": ""banking""}]","[""lookup_fiu_reference_types""]",param_error,28,28,
dragon-llama-fin,Llama-Open-Finance-8B,Finance-Specialized,st_fiu_024,hard,1,0.5,2,"[{""keyword"": ""corporate account"", ""industry"": ""banking""}]","[""get_fiu_reference_types"", ""lookup_fiu_reference_types""]",param_error,28,28,
dragon-llama-fin,Llama-Open-Finance-8B,Finance-Specialized,st_fiu_025,hard,1,1.0,2,"[{""keyword"": ""cash"", ""industry"": ""banking""}]","[""lookup_fiu_reference_types""]",correct,28,28,
dragon-qwen-fin,Qwen-Open-Finance-R-8B,Finance-Specialized,st_fiu_001,easy,1,1.0,1,"[{""keyword"": ""structuring""}]","[""lookup_fiu_reference_types""]",correct,28,28,
dragon-qwen-fin,Qwen-Open-Finance-R-8B,Finance-Specialized,st_fiu_002,medium,1,0.0,1,"[{""keyword"": ""nighttime mass transactions""}]","[""lookup_fiu_reference_types""]",param_error,28,28,
dragon-qwen-fin,Qwen-Open-Finance-R-8B,Finance-Specialized,st_fiu_003,hard,1,0.5,2,"[{""keyword"": ""non-face-to-face banking"", ""industry"": ""banking""}]","[""lookup_fiu_reference_types""]",param_error,28,28,
dragon-qwen-fin,Qwen-Open-Finance-R-8B,Finance-Specialized,st_fiu_004,medium,1,1.0,1,"[{""keyword"": ""virtual asset""}]","[""lookup_fiu_reference_types""]",correct,28,28,
dragon-qwen-fin,Qwen-Open-Finance-R-8B,Finance-Specialized,st_fiu_005,medium,1,0.0,1,"[{""keyword"": ""structuring""}]","[""lookup_fiu_reference_types""]",param_error,28,28,
dragon-qwen-fin,Qwen-Open-Finance-R-8B,Finance-Specialized,st_fiu_006,medium,1,1.0,1,"[{""keyword"": ""dormancy"", ""industry"": ""banking""}]","[""lookup_fiu_reference_types""]",correct,28,28,
dragon-qwen-fin,Qwen-Open-Finance-R-8B,Finance-Specialized,st_fiu_007,hard,1,1.0,2,"[{""keyword"": ""split"", ""industry"": ""securities""}]","[""lookup_fiu_reference_types""]",correct,28,28,
dragon-qwen-fin,Qwen-Open-Finance-R-8B,Finance-Specialized,st_fiu_008,medium,1,0.0,1,"[{""keyword"": ""company representative personal account structuring cash non-face-to-face balance certificate"", ""industry"": ""banking""}]","[""lookup_fiu_reference_types""]",param_error,28,28,
dragon-qwen-fin,Qwen-Open-Finance-R-8B,Finance-Specialized,st_fiu_009,easy,1,1.0,1,"[{""keyword"": ""ATM"", ""industry"": ""banking""}]","[""lookup_fiu_reference_types""]",correct,28,28,
dragon-qwen-fin,Qwen-Open-Finance-R-8B,Finance-Specialized,st_fiu_010,medium,1,1.0,1,"[{""keyword"": ""gambling"", ""industry"": ""banking""}]","[""lookup_fiu_reference_types""]",correct,28,28,
dragon-qwen-fin,Qwen-Open-Finance-R-8B,Finance-Specialized,st_fiu_011,medium,1,1.0,1,"[{""keyword"": ""balance certificate""}]","[""lookup_fiu_reference_types""]",correct,28,28,
dragon-qwen-fin,Qwen-Open-Finance-R-8B,Finance-Specialized,st_fiu_012,hard,1,1.0,2,"[{""keyword"": ""balance certificate"", ""industry"": ""securities""}]","[""lookup_fiu_reference_types""]",correct,28,28,
dragon-qwen-fin,Qwen-Open-Finance-R-8B,Finance-Specialized,st_fiu_013,medium,1,0.0,1,"[{""keyword"": ""paper company"", ""industry"": ""banking""}]","[""lookup_fiu_reference_types""]",param_error,28,28,
dragon-qwen-fin,Qwen-Open-Finance-R-8B,Finance-Specialized,st_fiu_014,medium,1,0.0,1,"[{""keyword"": ""prepaid card gift card"", ""industry"": ""banking""}, {""keyword"": ""cash"", ""industry"": ""banking""}]","[""lookup_fiu_reference_types"", ""lookup_fiu_reference_types""]",param_error,28,28,
dragon-qwen-fin,Qwen-Open-Finance-R-8B,Finance-Specialized,st_fiu_015,medium,1,0.0,1,"[{""keyword"": ""structuring"", ""industry"": ""banking""}]","[""lookup_fiu_reference_types""]",param_error,28,28,
dragon-qwen-fin,Qwen-Open-Finance-R-8B,Finance-Specialized,st_fiu_016,medium,1,1.0,1,"[{""keyword"": ""tax evasion"", ""industry"": ""banking""}]","[""lookup_fiu_reference_types""]",correct,28,28,
dragon-qwen-fin,Qwen-Open-Finance-R-8B,Finance-Specialized,st_fiu_017,hard,1,1.0,2,"[{""keyword"": ""internet banking"", ""industry"": ""banking""}]","[""lookup_fiu_reference_types""]",correct,28,28,
dragon-qwen-fin,Qwen-Open-Finance-R-8B,Finance-Specialized,st_fiu_018,medium,1,1.0,1,"[{""keyword"": ""unknown"", ""industry"": ""banking""}]","[""lookup_fiu_reference_types""]",correct,28,28,
dragon-qwen-fin,Qwen-Open-Finance-R-8B,Finance-Specialized,st_fiu_019,medium,1,1.0,1,"[{""keyword"": ""price differences between countries"", ""industry"": ""banking""}]","[""lookup_fiu_reference_types""]",correct,28,28,
dragon-qwen-fin,Qwen-Open-Finance-R-8B,Finance-Specialized,st_fiu_020,hard,1,0.5,2,"[{""keyword"": ""nominee account transfer to another person's account"", ""industry"": ""securities""}]","[""lookup_fiu_reference_types""]",param_error,28,28,
dragon-qwen-fin,Qwen-Open-Finance-R-8B,Finance-Specialized,st_fiu_021,hard,1,0.5,2,"[{""keyword"": ""structuring"", ""industry"": ""securities""}, {""keyword"": ""dormancy"", ""industry"": ""securities""}]","[""lookup_fiu_reference_types"", ""lookup_fiu_reference_types""]",param_error,28,28,
dragon-qwen-fin,Qwen-Open-Finance-R-8B,Finance-Specialized,st_fiu_022,hard,1,0.5,2,"[{""keyword"": ""non-face-to-face securities"", ""industry"": ""securities""}]","[""lookup_fiu_reference_types""]",param_error,28,28,
dragon-qwen-fin,Qwen-Open-Finance-R-8B,Finance-Specialized,st_fiu_023,medium,1,0.0,1,"[{""keyword"": ""non-face-to-face"", ""industry"": ""banking""}]","[""lookup_fiu_reference_types""]",param_error,28,28,
dragon-qwen-fin,Qwen-Open-Finance-R-8B,Finance-Specialized,st_fiu_024,hard,1,0.5,2,"[{""keyword"": ""corporate"", ""industry"": ""banking""}]","[""lookup_fiu_reference_types""]",param_error,28,28,
dragon-qwen-fin,Qwen-Open-Finance-R-8B,Finance-Specialized,st_fiu_025,hard,1,1.0,2,"[{""keyword"": ""cash"", ""industry"": ""banking""}]","[""lookup_fiu_reference_types""]",correct,28,28,
exaone-1.2b,EXAONE-4.0-1.2B,Korean-Specialized,st_fiu_001,easy,1,1.0,1,"[{""keyword"": ""structuring""}]","[""lookup_fiu_reference_types""]",correct,28,28,
exaone-1.2b,EXAONE-4.0-1.2B,Korean-Specialized,st_fiu_002,medium,1,0.0,1,"[{""keyword"": ""심야 대량 거래""}]","[""lookup_fiu_reference_types""]",param_error,28,28,
exaone-1.2b,EXAONE-4.0-1.2B,Korean-Specialized,st_fiu_003,hard,1,1.0,2,"[{""keyword"": ""non-face-to-face"", ""industry"": ""banking""}]","[""lookup_fiu_reference_types""]",correct,28,28,
exaone-1.2b,EXAONE-4.0-1.2B,Korean-Specialized,st_fiu_004,medium,1,0.0,1,"[{""keyword"": ""가상자산"", ""industry"": ""banking""}]","[""lookup_fiu_reference_types""]",param_error,28,28,
exaone-1.2b,EXAONE-4.0-1.2B,Korean-Specialized,st_fiu_005,medium,1,0.0,1,"[{""keyword"": ""타인명의 계좌 이용""}]","[""lookup_fiu_reference_types""]",param_error,28,28,
exaone-1.2b,EXAONE-4.0-1.2B,Korean-Specialized,st_fiu_006,medium,1,1.0,1,"[{""keyword"": ""dormancy"", ""industry"": ""banking""}]","[""lookup_fiu_reference_types""]",correct,28,28,
exaone-1.2b,EXAONE-4.0-1.2B,Korean-Specialized,st_fiu_007,hard,1,0.5,2,"[{""keyword"": ""분할 거래"", ""industry"": ""securities""}]","[""lookup_fiu_reference_types""]",param_error,28,28,
exaone-1.2b,EXAONE-4.0-1.2B,Korean-Specialized,st_fiu_008,medium,1,0.0,1,"[{""keyword"": ""법인 대표자 개인계좌"", ""industry"": ""banking""}]","[""lookup_fiu_reference_types""]",param_error,28,28,
exaone-1.2b,EXAONE-4.0-1.2B,Korean-Specialized,st_fiu_009,easy,1,1.0,1,"[{""keyword"": ""ATM"", ""industry"": ""banking""}]","[""lookup_fiu_reference_types""]",correct,28,28,
exaone-1.2b,EXAONE-4.0-1.2B,Korean-Specialized,st_fiu_010,medium,1,0.0,1,"[{""keyword"": ""도박"", ""industry"": ""banking""}]","[""lookup_fiu_reference_types""]",param_error,28,28,
exaone-1.2b,EXAONE-4.0-1.2B,Korean-Specialized,st_fiu_011,medium,1,0.0,1,"[{""industry"": ""banking""}]","[""lookup_fiu_reference_types""]",param_error,28,28,
exaone-1.2b,EXAONE-4.0-1.2B,Korean-Specialized,st_fiu_012,hard,1,1.0,2,"[{""keyword"": ""balance certificate"", ""industry"": ""securities""}]","[""lookup_fiu_reference_types""]",correct,28,28,
exaone-1.2b,EXAONE-4.0-1.2B,Korean-Specialized,st_fiu_013,medium,1,0.0,1,"[{""keyword"": ""페이퍼컴퍼니"", ""industry"": ""banking""}]","[""lookup_fiu_reference_types""]",param_error,28,28,
exaone-1.2b,EXAONE-4.0-1.2B,Korean-Specialized,st_fiu_014,medium,1,1.0,1,"[{""keyword"": ""refund"", ""industry"": ""banking""}]","[""lookup_fiu_reference_types""]",correct,28,28,
exaone-1.2b,EXAONE-4.0-1.2B,Korean-Specialized,st_fiu_015,medium,1,0.0,1,"[{""keyword"": ""미성년자"", ""industry"": ""banking""}, {""keyword"": ""고령자"", ""industry"": ""banking""}]","[""lookup_fiu_reference_types"", ""lookup_fiu_reference_types""]",param_error,28,28,
exaone-1.2b,EXAONE-4.0-1.2B,Korean-Specialized,st_fiu_016,medium,1,0.0,1,"[{""keyword"": ""탈세""}]","[""lookup_fiu_reference_types""]",param_error,28,28,
exaone-1.2b,EXAONE-4.0-1.2B,Korean-Specialized,st_fiu_017,hard,1,1.0,2,"[{""keyword"": ""internet banking"", ""industry"": ""banking""}]","[""lookup_fiu_reference_types""]",correct,28,28,
exaone-1.2b,EXAONE-4.0-1.2B,Korean-Specialized,st_fiu_018,medium,1,0.0,1,"[{""keyword"": ""new recipient"", ""industry"": ""banking""}]","[""lookup_fiu_reference_types""]",param_error,28,28,
exaone-1.2b,EXAONE-4.0-1.2B,Korean-Specialized,st_fiu_019,medium,1,1.0,1,"[{""keyword"": ""price difference"", ""industry"": ""banking""}]","[""lookup_fiu_reference_types""]",correct,28,28,
exaone-1.2b,EXAONE-4.0-1.2B,Korean-Specialized,st_fiu_020,hard,1,0.0,2,"[{""keyword"": ""structuring,cash,non-face-to-face,virtual asset,dormancy,gambling,balance certificate""}]","[""lookup_fiu_reference_types""]",param_error,28,28,
exaone-1.2b,EXAONE-4.0-1.2B,Korean-Specialized,st_fiu_021,hard,1,0.5,2,"[{""keyword"": ""증권 집중 매매 후 전량 매도"", ""industry"": ""securities""}]","[""lookup_fiu_reference_types""]",param_error,28,28,
exaone-1.2b,EXAONE-4.0-1.2B,Korean-Specialized,st_fiu_022,hard,1,0.0,2,"[{""keyword"": ""securities"", ""industry"": ""banking""}]","[""lookup_fiu_reference_types""]",param_error,28,28,
exaone-1.2b,EXAONE-4.0-1.2B,Korean-Specialized,st_fiu_023,medium,1,0.0,1,"[{""keyword"": ""customer information mismatch""}]","[""lookup_fiu_reference_types""]",param_error,28,28,
exaone-1.2b,EXAONE-4.0-1.2B,Korean-Specialized,st_fiu_024,hard,1,0.5,2,"[{""keyword"": ""법인 계좌 대표자 개인 계좌"", ""industry"": ""banking""}]","[""lookup_fiu_reference_types""]",param_error,28,28,
exaone-1.2b,EXAONE-4.0-1.2B,Korean-Specialized,st_fiu_025,hard,1,1.0,2,"[{""keyword"": ""cash"", ""industry"": ""banking""}]","[""lookup_fiu_reference_types""]",correct,28,28,
exaone-32b,EXAONE-4.0-32B,Korean-Specialized,st_fiu_001,easy,1,1.0,1,"[{""keyword"": ""structuring""}]","[""lookup_fiu_reference_types""]",correct,28,28,
exaone-32b,EXAONE-4.0-32B,Korean-Specialized,st_fiu_002,medium,1,0.0,1,"[{""keyword"": ""dormancy""}]","[""lookup_fiu_reference_types""]",param_error,28,28,
exaone-32b,EXAONE-4.0-32B,Korean-Specialized,st_fiu_003,hard,1,1.0,2,"[{""keyword"": ""non-face-to-face"", ""industry"": ""banking""}]","[""lookup_fiu_reference_types""]",correct,28,28,
exaone-32b,EXAONE-4.0-32B,Korean-Specialized,st_fiu_004,medium,1,1.0,1,"[{""keyword"": ""virtual asset""}]","[""lookup_fiu_reference_types""]",correct,28,28,
exaone-32b,EXAONE-4.0-32B,Korean-Specialized,st_fiu_005,medium,1,0.0,1,"[{""keyword"": ""account in the name of another person""}]","[""lookup_fiu_reference_types""]",param_error,28,28,
